relation_raw,category_50,category_simple
abbreviated as,Alias_Name,Tên khác
absorption is,Etiology_AssociatedWith,Liên quan
accelerates,MoA_ModulationOther,Điều hòa khác
accelerates the rate at which,MoA_ModulationOther,Điều hòa khác
accompanied by,Etiology_AssociatedWith,Liên quan
accounts for,Etiology_AssociatedWith,Liên quan
accumulate,Etiology_AssociatedWith,Liên quan
accumulate in,Etiology_AssociatedWith,Liên quan
accumulates in,Etiology_AssociatedWith,Liên quan
achieves,Etiology_AssociatedWith,Liên quan
act as,Etiology_AssociatedWith,Liên quan
act on,Etiology_AssociatedWith,Liên quan
activates,MoA_ActivationInduction,Kích hoạt
activates degradation of,MoA_ActivationInduction,Kích hoạt
active against,Etiology_AssociatedWith,Liên quan
activity leads to,Etiology_AssociatedWith,Liên quan
activity may require,Etiology_AssociatedWith,Liên quan
acts against,Etiology_AssociatedWith,Liên quan
acts as,Etiology_AssociatedWith,Liên quan
acts as a,Etiology_AssociatedWith,Liên quan
acts as a cofactor in,Etiology_AssociatedWith,Liên quan
acts as a cofactor in the production of,Etiology_AssociatedWith,Liên quan
acts as a physiological antagonist to,MoA_AgonistAntagonist,Kích/khóa thụ thể
acts as a potent agonist of,MoA_AgonistAntagonist,Kích/khóa thụ thể
acts as a primary cytokine to promote,MoA_ModulationOther,Điều hòa khác
acts as a weak partial agonist at,MoA_AgonistAntagonist,Kích/khóa thụ thể
acts as an,Etiology_AssociatedWith,Liên quan
acts as an agonist of,MoA_AgonistAntagonist,Kích/khóa thụ thể
acts as an antagonist at,MoA_AgonistAntagonist,Kích/khóa thụ thể
acts as an antagonist of,MoA_AgonistAntagonist,Kích/khóa thụ thể
acts as an antagonist on,MoA_AgonistAntagonist,Kích/khóa thụ thể
acts at,Etiology_AssociatedWith,Liên quan
acts by,MoA_ModulationOther,Điều hòa khác
acts by activating,MoA_ModulationOther,Điều hòa khác
acts by binding to,MoA_BindingAffinity,Gắn kết
acts by blocking,MoA_ModulationOther,Điều hòa khác
acts by decreasing,MoA_ModulationOther,Điều hòa khác
acts by inhibiting,MoA_ModulationOther,Điều hòa khác
acts by interfering with,MoA_ModulationOther,Điều hòa khác
acts by modulating,MoA_ModulationOther,Điều hòa khác
acts by producing,MoA_ModulationOther,Điều hòa khác
acts by reducing,MoA_ModulationOther,Điều hòa khác
acts mainly by,Etiology_AssociatedWith,Liên quan
acts on,Etiology_AssociatedWith,Liên quan
acts primarily in,Etiology_AssociatedWith,Liên quan
acts similarly to,Etiology_AssociatedWith,Liên quan
acts synergistically with,DrugInteraction,Tương tác thuốc
acts through,Etiology_AssociatedWith,Liên quan
addresses,Etiology_AssociatedWith,Liên quan
addresses issues related to,Etiology_AssociatedWith,Liên quan
administered,Etiology_AssociatedWith,Liên quan
administered as,Etiology_AssociatedWith,Liên quan
administered at,Etiology_AssociatedWith,Liên quan
administered via,Treatment_AdministrationRoute,Đường dùng
administered with,Etiology_AssociatedWith,Liên quan
administers,Etiology_AssociatedWith,Liên quan
adult idiopathic neutropenia,Temporal_OnsetAge,Tuổi khởi phát
affect,Etiology_AssociatedWith,Liên quan
affect the function of,Etiology_AssociatedWith,Liên quan
affected in,Etiology_AssociatedWith,Liên quan
affects,Etiology_AssociatedWith,Liên quan
affects approximately,Epidemiology_PrevalenceIncidence,Tần suất mắc
affects individuals across,Epidemiology_Demographics,Hay gặp ở nhóm
affects individuals at,Epidemiology_Demographics,Hay gặp ở nhóm
affects individuals between ages,Anatomy_SpatialRelation,Vị trí tương đối
affects individuals from,Epidemiology_Demographics,Hay gặp ở nhóm
affects individuals in,Epidemiology_Demographics,Hay gặp ở nhóm
affects individuals of,Epidemiology_Demographics,Hay gặp ở nhóm
affects individuals over,Epidemiology_Demographics,Hay gặp ở nhóm
affects individuals who are,Epidemiology_Demographics,Hay gặp ở nhóm
affects individuals with,Epidemiology_Demographics,Hay gặp ở nhóm
affects more frequently,Etiology_AssociatedWith,Liên quan
affects mostly,Etiology_AssociatedWith,Liên quan
affects newborns in,Temporal_OnsetAge,Tuổi khởi phát
affects patients who are,Etiology_AssociatedWith,Liên quan
affects predominantly,Epidemiology_Demographics,Hay gặp ở nhóm
affects primarily,Etiology_AssociatedWith,Liên quan
affects the electrical activity of,Etiology_AssociatedWith,Liên quan
affects the function of,Etiology_AssociatedWith,Liên quan
agents to avoid include,Etiology_AssociatedWith,Liên quan
aggregates with,Etiology_AssociatedWith,Liên quan
agonizes,MoA_AgonistAntagonist,Kích/khóa thụ thể
aids in,Etiology_AssociatedWith,Liên quan
aim at,Etiology_AssociatedWith,Liên quan
aim at addressing,Etiology_AssociatedWith,Liên quan
aim at improving,Etiology_AssociatedWith,Liên quan
aim to,Etiology_AssociatedWith,Liên quan
aim to alleviate,Etiology_AssociatedWith,Liên quan
aim to improve,Etiology_AssociatedWith,Liên quan
aim to reduce,MoA_ModulationOther,Điều hòa khác
aims at,Etiology_AssociatedWith,Liên quan
aims at alleviating,Etiology_AssociatedWith,Liên quan
aims at correcting,Etiology_AssociatedWith,Liên quan
aims at reducing,Etiology_AssociatedWith,Liên quan
aims for,Etiology_AssociatedWith,Liên quan
aims to,Etiology_AssociatedWith,Liên quan
aims to alleviate,Etiology_AssociatedWith,Liên quan
aims to control,Etiology_AssociatedWith,Liên quan
aims to determine,Etiology_AssociatedWith,Liên quan
aims to develop,Etiology_AssociatedWith,Liên quan
aims to elucidate,Etiology_AssociatedWith,Liên quan
aims to improve,Etiology_AssociatedWith,Liên quan
aims to minimize,Etiology_AssociatedWith,Liên quan
aims to modify,Etiology_AssociatedWith,Liên quan
aims to prevent,Prevention_Prophylaxis,Phòng ngừa
aims to promote,MoA_ModulationOther,Điều hòa khác
aims to reduce,MoA_ModulationOther,Điều hòa khác
aims to refine,Etiology_AssociatedWith,Liên quan
aims to restore,Etiology_AssociatedWith,Liên quan
aims to selectively amplify,Etiology_AssociatedWith,Liên quan
alkylates,Etiology_AssociatedWith,Liên quan
alleviate,Etiology_AssociatedWith,Liên quan
alleviates,Etiology_AssociatedWith,Liên quan
alleviates symptoms associated with,Clinical_SymptomSign,Triệu chứng
allows,Etiology_AssociatedWith,Liên quan
allows cells of the epidermis to,Etiology_AssociatedWith,Liên quan
allows detection using,Etiology_AssociatedWith,Liên quan
allows distinguishing,Etiology_AssociatedWith,Liên quan
allows for,Etiology_AssociatedWith,Liên quan
allows for detectable serum concentrations to remain for,Diagnosis_LabFinding,Xét nghiệm
allows individuals to lead,Etiology_AssociatedWith,Liên quan
allows the conversion of,Etiology_AssociatedWith,Liên quan
allows visualization of,Etiology_AssociatedWith,Liên quan
also acts in,Etiology_AssociatedWith,Liên quan
also binds to,MoA_BindingAffinity,Gắn kết
also known as,Alias_Name,Tên khác
also produced in,Etiology_AssociatedWith,Liên quan
also referred to as,Alias_Name,Tên khác
alters,Etiology_AssociatedWith,Liên quan
alters the,Etiology_AssociatedWith,Liên quan
alters the activity of,Etiology_AssociatedWith,Liên quan
ameliorates,Etiology_AssociatedWith,Liên quan
antagonizes,MoA_AgonistAntagonist,Kích/khóa thụ thể
appear across,Etiology_AssociatedWith,Liên quan
appear in,Etiology_AssociatedWith,Liên quan
appear normal at,Etiology_AssociatedWith,Liên quan
appear on,Etiology_AssociatedWith,Liên quan
appears after,Clinical_ManifestationPresentation,Biểu hiện
appears in,Clinical_ManifestationPresentation,Biểu hiện
appears more frequently in,Clinical_ManifestationPresentation,Biểu hiện
appears to be,Clinical_ManifestationPresentation,Biểu hiện
approval status has been,Regulatory_Status,Trạng thái phê duyệt
approval status is,Regulatory_Status,Trạng thái phê duyệt
approved by,Regulatory_Status,Trạng thái phê duyệt
approved for,Regulatory_Status,Trạng thái phê duyệt
approved for therapeutic use in,Regulatory_Status,Trạng thái phê duyệt
approved for use as,Regulatory_Status,Trạng thái phê duyệt
approved for use in,Regulatory_Status,Trạng thái phê duyệt
approved for use with,Regulatory_Status,Trạng thái phê duyệt
approved in,Regulatory_Status,Trạng thái phê duyệt
approved on,Regulatory_Status,Trạng thái phê duyệt
approved since,Regulatory_Status,Trạng thái phê duyệt
are,Etiology_AssociatedWith,Liên quan
are a common characteristic of,Taxonomy_IsA,Là loại
are a common complication of,Clinical_Complication,Biến chứng
are a common feature of,Clinical_SymptomSign,Triệu chứng
are a frequent cause of,Taxonomy_IsA,Là loại
are a group of,Taxonomy_IsA,Là loại
are a hallmark feature of,Clinical_SymptomSign,Triệu chứng
are a result of,Taxonomy_IsA,Là loại
are a type of,Taxonomy_IsA,Là loại
are accompanied by,Etiology_AssociatedWith,Liên quan
are activated by,MoA_ActivationInduction,Kích hoạt
are advised to,Etiology_AssociatedWith,Liên quan
are advised to avoid,Safety_ContraindicationAvoid,Chống chỉ định
are advised to undergo,Etiology_AssociatedWith,Liên quan
are affected by,Etiology_AssociatedWith,Liên quan
are affected more frequently than,Etiology_AssociatedWith,Liên quan
are also known as,Alias_Name,Tên khác
are an example of,Taxonomy_IsA,Là loại
are approved for,Regulatory_Status,Trạng thái phê duyệt
are assessed based on,Etiology_AssociatedWith,Liên quan
are associated with,Etiology_AssociatedWith,Liên quan
are at a higher risk of,Etiology_RiskFactor,Yếu tố nguy cơ
are at high risk of,Etiology_AssociatedWith,Liên quan
are at high risk of developing,Etiology_AssociatedWith,Liên quan
are at higher risk for,Etiology_RiskFactor,Yếu tố nguy cơ
are at higher risk of,Etiology_RiskFactor,Yếu tố nguy cơ
are at increased risk of,Etiology_RiskFactor,Yếu tố nguy cơ
are at increased risk of developing,Etiology_RiskFactor,Yếu tố nguy cơ
are at risk for,Etiology_AssociatedWith,Liên quan
are at risk for developing,Etiology_AssociatedWith,Liên quan
are at risk of,Etiology_AssociatedWith,Liên quan
are at risk of developing,Etiology_AssociatedWith,Liên quan
are attributed to,Etiology_CausedBy,Do nguyên nhân
are being investigated for,Etiology_AssociatedWith,Liên quan
are catabolized by,PK_Metabolism,Chuyển hóa
are caused by,Etiology_CausedBy,Do nguyên nhân
are characterized by,Clinical_SymptomSign,Triệu chứng
are classified into,Taxonomy_MemberOf,Thuộc nhóm
are collectively called,Etiology_AssociatedWith,Liên quan
are composed of,Taxonomy_PartOf,Thành phần của
are conjugated to,Etiology_AssociatedWith,Liên quan
are counseled to report,Etiology_AssociatedWith,Liên quan
are critical for,Etiology_AssociatedWith,Liên quan
are crucial for,Etiology_AssociatedWith,Liên quan
are dependent on,Etiology_AssociatedWith,Liên quan
are deposited in,Etiology_AssociatedWith,Liên quan
are derived from,Taxonomy_DerivedFrom,Nguồn gốc từ
are detected at,Diagnosis_DiagnosticMethod,Cách chẩn đoán
are diagnosed by,Diagnosis_DiagnosticMethod,Cách chẩn đoán
are diagnosed in,Diagnosis_DiagnosticMethod,Cách chẩn đoán
are distal to,Anatomy_SpatialRelation,Vị trí tương đối
are distributed throughout,Anatomy_LocatedIn,Nằm ở
are elevated in,Diagnosis_LabFinding,Xét nghiệm
are eliminated in,PK_ExcretionClearance,Thải trừ
are essential for,Etiology_AssociatedWith,Liên quan
are established based on,Etiology_AssociatedWith,Liên quan
are exacerbated when in,Etiology_AssociatedWith,Liên quan
are expressed on,Anatomy_ExpressedIn,Biểu hiện ở
are familiar with,Etiology_AssociatedWith,Liên quan
are filled with,Etiology_AssociatedWith,Liên quan
are for,Etiology_AssociatedWith,Liên quan
are formed through,Etiology_AssociatedWith,Liên quan
are found in,Anatomy_LocatedIn,Nằm ở
are found on,Etiology_AssociatedWith,Liên quan
are from,Etiology_AssociatedWith,Liên quan
are hallmark features of,Clinical_SymptomSign,Triệu chứng
are identified as,Etiology_AssociatedWith,Liên quan
are in,Etiology_AssociatedWith,Liên quan
are indicated after,Etiology_AssociatedWith,Liên quan
are indicated for,Treatment_IndicationUse,Điều trị / chỉ định
are inhibitors of,Etiology_AssociatedWith,Liên quan
are involved in,Etiology_AssociatedWith,Liên quan
are key players in,Etiology_AssociatedWith,Liên quan
are known as,Alias_Name,Tên khác
are known for,Etiology_AssociatedWith,Liên quan
are known to confer resistance,Etiology_AssociatedWith,Liên quan
are lined by,Anatomy_SpatialRelation,Vị trí tương đối
are located in,Anatomy_LocatedIn,Nằm ở
are located on,Anatomy_LocatedIn,Nằm ở
are mainly,Etiology_AssociatedWith,Liên quan
are marked by,Clinical_SymptomSign,Triệu chứng
are mediators of,Etiology_AssociatedWith,Liên quan
are more common in,Epidemiology_Demographics,Hay gặp ở nhóm
are more commonly affected by,Etiology_AssociatedWith,Liên quan
are more commonly affected than,Etiology_AssociatedWith,Liên quan
are more likely to pass on,Etiology_AssociatedWith,Liên quan
are more susceptible to,Etiology_RiskFactor,Yếu tố nguy cơ
are multifactorial  including,Etiology_AssociatedWith,Liên quan
are necessary to,Etiology_AssociatedWith,Liên quan
are necessary to avoid,Etiology_AssociatedWith,Liên quan
are needed to determine,Etiology_AssociatedWith,Liên quan
are normal at birth,Temporal_OnsetAge,Tuổi khởi phát
are notable for,Clinical_SymptomSign,Triệu chứng
are observed at,Etiology_AssociatedWith,Liên quan
are observed in,Etiology_AssociatedWith,Liên quan
are obtained by,Etiology_AssociatedWith,Liên quan
are obtained from,Taxonomy_DerivedFrom,Nguồn gốc từ
are of,Etiology_AssociatedWith,Liên quan
are offspring of,Genetics_InheritanceCarrier,Di truyền
are often,Etiology_AssociatedWith,Liên quan
are often accompanied by,Etiology_AssociatedWith,Liên quan
are often referred to as,Alias_Name,Tên khác
are ongoing to evaluate,Etiology_AssociatedWith,Liên quan
are part of,Taxonomy_PartOf,Thành phần của
are potent inhibitors of,Etiology_AssociatedWith,Liên quan
are potentially affected in,Etiology_AssociatedWith,Liên quan
are predisposed to,Etiology_AssociatedWith,Liên quan
are present at,Clinical_ManifestationPresentation,Biểu hiện
are present in,Clinical_ManifestationPresentation,Biểu hiện
are primarily caused by,Etiology_CausedBy,Do nguyên nhân
are primarily located in,Anatomy_LocatedIn,Nằm ở
are prone to,Etiology_RiskFactor,Yếu tố nguy cơ
are recommended for,Etiology_AssociatedWith,Liên quan
are replaced by,Etiology_AssociatedWith,Liên quan
are responsible for,Etiology_AssociatedWith,Liên quan
are risk factors for,Etiology_AssociatedWith,Liên quan
are seen in,Etiology_AssociatedWith,Liên quan
are situated between,Anatomy_SpatialRelation,Vị trí tương đối
are structurally similar to,Taxonomy_VariantOf,Biến thể của
are surrounded by,Anatomy_SpatialRelation,Vị trí tương đối
are susceptible to,Etiology_RiskFactor,Yếu tố nguy cơ
are taken up by,Etiology_AssociatedWith,Liên quan
are thought to play a role in,Etiology_AssociatedWith,Liên quan
are triggered by,Etiology_TriggerExacerbating,Kích hoạt / làm nặng
are twice as likely as,Etiology_AssociatedWith,Liên quan
are typically,Etiology_AssociatedWith,Liên quan
are typically born with,Etiology_AssociatedWith,Liên quan
are underlying factors for,Etiology_AssociatedWith,Liên quan
are used as,Etiology_AssociatedWith,Liên quan
are used for,Treatment_IndicationUse,Điều trị / chỉ định
are used in,Etiology_AssociatedWith,Liên quan
are used to,Treatment_IndicationUse,Điều trị / chỉ định
are used to control,Treatment_IndicationUse,Điều trị / chỉ định
are used to improve,Treatment_IndicationUse,Điều trị / chỉ định
are used to lower,Treatment_IndicationUse,Điều trị / chỉ định
are used to manage,Treatment_IndicationUse,Điều trị / chỉ định
are used to treat,Treatment_IndicationUse,Điều trị / chỉ định
are usually,Etiology_AssociatedWith,Liên quan
are vulnerable to,Etiology_RiskFactor,Yếu tố nguy cơ
are within,Anatomy_SpatialRelation,Vị trí tương đối
are without,Etiology_AssociatedWith,Liên quan
arise from,Etiology_AssociatedWith,Liên quan
arises from,Etiology_CausedBy,Do nguyên nhân
arises from mutations in,Genetics_Mutation,Đột biến
artificially increases,MoA_ModulationOther,Điều hòa khác
assists in,Etiology_AssociatedWith,Liên quan
associated with,Etiology_AssociatedWith,Liên quan
associates with,Etiology_AssociatedWith,Liên quan
association with,Etiology_AssociatedWith,Liên quan
at,Etiology_AssociatedWith,Liên quan
attached to,Anatomy_SpatialRelation,Vị trí tương đối
attack,Etiology_AssociatedWith,Liên quan
attacks,Etiology_AssociatedWith,Liên quan
attributed to,Etiology_CausedBy,Do nguyên nhân
autophosphorylates,Etiology_AssociatedWith,Liên quan
became the first available,Etiology_AssociatedWith,Liên quan
become,Etiology_AssociatedWith,Liên quan
become bedridden,Etiology_AssociatedWith,Liên quan
becomes,Etiology_AssociatedWith,Liên quan
becomes active when,Etiology_AssociatedWith,Liên quan
becomes apparent at,Etiology_AssociatedWith,Liên quan
becomes apparent during,Etiology_AssociatedWith,Liên quan
becomes detectable from,Etiology_AssociatedWith,Liên quan
begins,Temporal_OnsetAge,Tuổi khởi phát
begins after,Temporal_OnsetAge,Tuổi khởi phát
begins at,Temporal_OnsetAge,Tuổi khởi phát
begins in,Temporal_OnsetAge,Tuổi khởi phát
begins with,Temporal_OnsetAge,Tuổi khởi phát
begins with symptoms involving,Clinical_SymptomSign,Triệu chứng
belong to,Etiology_AssociatedWith,Liên quan
belongs to,Taxonomy_MemberOf,Thuộc nhóm
belongs to a class of drugs known as,Alias_Name,Tên khác
belongs to categories,Taxonomy_MemberOf,Thuộc nhóm
belongs to categories of,Taxonomy_MemberOf,Thuộc nhóm
belongs to categories such as,Taxonomy_MemberOf,Thuộc nhóm
belongs to drug categories,DrugClass_Category,Nhóm thuốc
belongs to drug categories including,DrugClass_Category,Nhóm thuốc
belongs to drug categories such as,DrugClass_Category,Nhóm thuốc
belongs to drug category,DrugClass_Category,Nhóm thuốc
belongs to the categories,Taxonomy_MemberOf,Thuộc nhóm
belongs to the categories of,Taxonomy_MemberOf,Thuộc nhóm
belongs to the category of,DrugClass_Category,Nhóm thuốc
belongs to the class of,DrugClass_Category,Nhóm thuốc
belongs to the classes of,Taxonomy_MemberOf,Thuộc nhóm
belongs to the drug category of,DrugClass_Category,Nhóm thuốc
belongs to the family of,Taxonomy_MemberOf,Thuộc nhóm
belongs to the group of,Taxonomy_MemberOf,Thuộc nhóm
belongs to the same drug class as,DrugClass_Category,Nhóm thuốc
belongs to the same family as,Taxonomy_MemberOf,Thuộc nhóm
belongs to the subgroup of,Taxonomy_MemberOf,Thuộc nhóm
belongs to various drug categories,DrugClass_Category,Nhóm thuốc
benefits,Etiology_AssociatedWith,Liên quan
benefits from,Etiology_AssociatedWith,Liên quan
bind to,MoA_BindingAffinity,Gắn kết
binds,MoA_BindingAffinity,Gắn kết
binds competitively to,MoA_BindingAffinity,Gắn kết
binds more than,MoA_BindingAffinity,Gắn kết
binds mostly to,MoA_BindingAffinity,Gắn kết
binds preferentially to,MoA_BindingAffinity,Gắn kết
binds primarily to,MoA_BindingAffinity,Gắn kết
